shipment_id,last_known_location,last_update_time,status_update
16f19eda-1d34-4b55-8bcf-1c89719b067f,"Las Vegas, NV",2025-04-11T10:11:27.703571,delivered
bf2f307d-30b6-4b5b-9681-e679f05413b8,"El Paso, TX",2025-04-17T16:11:27.703647,arrived at hub
bf2f307d-30b6-4b5b-9681-e679f05413b8,"Tucson, AZ",2025-04-18T04:11:27.703647,delayed
bf2f307d-30b6-4b5b-9681-e679f05413b8,"El Paso, TX",2025-04-18T21:11:27.703647,out for delivery
e4ce89ce-3520-4162-967c-1c28ffa463e2,"Denver, CO",2025-04-11T20:11:27.703716,in transit
e4ce89ce-3520-4162-967c-1c28ffa463e2,"Phoenix, AZ",2025-04-12T08:11:27.703716,delivered
80aa4a5d-3f0f-4a0d-a6c2-3ed6268dcb14,"Phoenix, AZ",2025-05-05T17:11:27.703784,in transit
80aa4a5d-3f0f-4a0d-a6c2-3ed6268dcb14,"Denver, CO",2025-05-04T20:11:27.703784,in transit
a45a8366-0892-46a6-a041-dc7d83fd454e,"Phoenix, AZ",2025-05-04T07:11:27.703925,delivered
a45a8366-0892-46a6-a041-dc7d83fd454e,"Las Vegas, NV",2025-05-03T19:11:27.703925,out for delivery
5ad12cdc-115a-4ae2-b392-077413c804f6,"Oklahoma City, OK",2025-04-09T05:11:27.703999,delivered
5ad12cdc-115a-4ae2-b392-077413c804f6,"Denver, CO",2025-04-11T01:11:27.703999,out for delivery
1d4df145-88b3-4c02-81b2-a4c5ae2e17d7,"Phoenix, AZ",2025-04-15T13:11:27.704080,in transit
1d4df145-88b3-4c02-81b2-a4c5ae2e17d7,"Las Vegas, NV",2025-04-16T20:11:27.704080,out for delivery
1d4df145-88b3-4c02-81b2-a4c5ae2e17d7,"Tucson, AZ",2025-04-16T17:11:27.704080,in transit
99e94764-6c17-4605-b024-a9596a5c38d8,"Tucson, AZ",2025-05-04T20:11:27.704159,delayed
99e94764-6c17-4605-b024-a9596a5c38d8,"Denver, CO",2025-05-05T02:11:27.704159,arrived at hub
f822c535-dd47-4c3d-97d1-d76065c8992e,"Tucson, AZ",2025-04-07T09:11:27.704219,arrived at hub
f822c535-dd47-4c3d-97d1-d76065c8992e,"Denver, CO",2025-04-06T19:11:27.704219,delayed
25ede98e-3d1b-4856-ad4d-3371846bfaf5,"Salt Lake City, UT",2025-04-24T20:11:27.704278,in transit
25ede98e-3d1b-4856-ad4d-3371846bfaf5,"Salt Lake City, UT",2025-04-25T21:11:27.704278,delivered
25ede98e-3d1b-4856-ad4d-3371846bfaf5,"Phoenix, AZ",2025-04-24T01:11:27.704278,delivered
69c1cd79-c3af-46b5-b52b-6b3e6dff484c,"Salt Lake City, UT",2025-04-10T00:11:27.704347,arrived at hub
69c1cd79-c3af-46b5-b52b-6b3e6dff484c,"Tucson, AZ",2025-04-10T10:11:27.704347,out for delivery
3bdba21b-b873-4eb9-8256-52733dc612d8,"Salt Lake City, UT",2025-04-14T16:11:27.704409,out for delivery
3bdba21b-b873-4eb9-8256-52733dc612d8,"Denver, CO",2025-04-13T20:11:27.704409,out for delivery
3bdba21b-b873-4eb9-8256-52733dc612d8,"Tucson, AZ",2025-04-13T13:11:27.704409,delayed
7b4e6fbc-1c88-4b35-a455-25e11a8be10f,"Tucson, AZ",2025-04-21T01:11:27.704467,delivered
7b4e6fbc-1c88-4b35-a455-25e11a8be10f,"Denver, CO",2025-04-22T03:11:27.704467,arrived at hub
7b4e6fbc-1c88-4b35-a455-25e11a8be10f,"Denver, CO",2025-04-21T02:11:27.704467,in transit
3fa3b81d-2aa6-4b8a-9746-83c31a188f7a,"Phoenix, AZ",2025-04-29T05:11:27.704525,in transit
3fa3b81d-2aa6-4b8a-9746-83c31a188f7a,"El Paso, TX",2025-04-30T02:11:27.704525,delivered
5f334406-3cec-4cab-87ab-a506eb61d2d3,"El Paso, TX",2025-04-15T20:11:27.704583,in transit
5f334406-3cec-4cab-87ab-a506eb61d2d3,"Phoenix, AZ",2025-04-16T12:11:27.704583,delivered
66947eee-7306-442b-8594-cd7da8b55e39,"Tucson, AZ",2025-04-29T19:11:27.704699,in transit
66947eee-7306-442b-8594-cd7da8b55e39,"El Paso, TX",2025-04-29T20:11:27.704699,delivered
0a0b0504-6bf3-43e2-a8a9-021595a1b5e8,"Tucson, AZ",2025-04-05T23:11:27.704826,delivered
0a0b0504-6bf3-43e2-a8a9-021595a1b5e8,"Las Vegas, NV",2025-04-08T07:11:27.704826,delayed
ba1beec1-7d39-497a-b3d6-2a27cda85036,"Denver, CO",2025-04-07T05:11:27.704938,delayed
ba1beec1-7d39-497a-b3d6-2a27cda85036,"Denver, CO",2025-04-07T15:11:27.704938,delayed
200d1e7c-7d3a-4a0b-a31d-eff5ad6f2cc3,"Salt Lake City, UT",2025-04-28T05:11:27.705001,in transit
200d1e7c-7d3a-4a0b-a31d-eff5ad6f2cc3,"Tucson, AZ",2025-04-26T14:11:27.705001,delivered
200d1e7c-7d3a-4a0b-a31d-eff5ad6f2cc3,"Phoenix, AZ",2025-04-27T01:11:27.705001,delivered
64425084-3cd2-4995-935e-1350eb695b5b,"Las Vegas, NV",2025-04-26T05:11:27.705070,arrived at hub
64425084-3cd2-4995-935e-1350eb695b5b,"Phoenix, AZ",2025-04-25T09:11:27.705070,arrived at hub
444811b7-1d2d-4abf-82d4-b817c1a4ae65,"Denver, CO",2025-04-13T01:11:27.705145,out for delivery
444811b7-1d2d-4abf-82d4-b817c1a4ae65,"El Paso, TX",2025-04-13T03:11:27.705145,delivered
444811b7-1d2d-4abf-82d4-b817c1a4ae65,"Oklahoma City, OK",2025-04-11T14:11:27.705145,delivered
377fde5c-e5ca-4f7c-a9a7-20cffa824464,"Denver, CO",2025-04-20T02:11:27.705202,delayed
377fde5c-e5ca-4f7c-a9a7-20cffa824464,"Phoenix, AZ",2025-04-20T03:11:27.705202,delivered
377fde5c-e5ca-4f7c-a9a7-20cffa824464,"Las Vegas, NV",2025-04-20T08:11:27.705202,delayed
260f0750-6823-48a5-b517-3b0d5e6592cf,"Denver, CO",2025-04-15T08:11:27.705277,delayed
260f0750-6823-48a5-b517-3b0d5e6592cf,"Tucson, AZ",2025-04-16T05:11:27.705277,delayed
9013e453-738b-42ba-8d46-5e543feb872b,"Oklahoma City, OK",2025-04-14T00:11:27.705337,out for delivery
9013e453-738b-42ba-8d46-5e543feb872b,"Phoenix, AZ",2025-04-15T00:11:27.705337,in transit
f6dd7b64-ac52-4e24-acc2-3fa86bcc3978,"Oklahoma City, OK",2025-05-04T05:11:27.705411,delayed
f6dd7b64-ac52-4e24-acc2-3fa86bcc3978,"Oklahoma City, OK",2025-05-04T09:11:27.705411,out for delivery
f6dd7b64-ac52-4e24-acc2-3fa86bcc3978,"El Paso, TX",2025-05-05T19:11:27.705411,in transit
ab97909b-ad43-4fc2-8a04-885b631a9f86,"Oklahoma City, OK",2025-04-27T22:11:27.705478,arrived at hub
ab97909b-ad43-4fc2-8a04-885b631a9f86,"Salt Lake City, UT",2025-04-27T17:11:27.705478,delayed
32a03a3d-8b10-4c89-921f-9b4e9bb03881,"Denver, CO",2025-04-07T20:11:27.705547,in transit
32a03a3d-8b10-4c89-921f-9b4e9bb03881,"Las Vegas, NV",2025-04-07T04:11:27.705547,in transit
b3028b70-56b9-402b-846d-eed94fc03fa6,"Oklahoma City, OK",2025-04-25T15:11:27.705603,arrived at hub
b3028b70-56b9-402b-846d-eed94fc03fa6,"Las Vegas, NV",2025-04-25T02:11:27.705603,delivered
b3028b70-56b9-402b-846d-eed94fc03fa6,"El Paso, TX",2025-04-26T17:11:27.705603,arrived at hub
becce702-f786-4893-80c2-10d7a0f3a671,"Salt Lake City, UT",2025-04-26T09:11:27.705669,arrived at hub
becce702-f786-4893-80c2-10d7a0f3a671,"Phoenix, AZ",2025-04-27T17:11:27.705669,arrived at hub
ce240b4b-49f1-4a4f-8295-aeb960438bbc,"Salt Lake City, UT",2025-04-09T17:11:27.705725,arrived at hub
ce240b4b-49f1-4a4f-8295-aeb960438bbc,"Denver, CO",2025-04-08T23:11:27.705725,in transit
ce240b4b-49f1-4a4f-8295-aeb960438bbc,"Salt Lake City, UT",2025-04-09T13:11:27.705725,in transit
3bc2648e-9981-46d1-abdc-fa0aaea705a0,"Denver, CO",2025-05-05T17:11:27.705792,out for delivery
3bc2648e-9981-46d1-abdc-fa0aaea705a0,"Las Vegas, NV",2025-05-06T09:11:27.705792,arrived at hub
3bc2648e-9981-46d1-abdc-fa0aaea705a0,"Phoenix, AZ",2025-05-05T17:11:27.705792,arrived at hub
d2ebfbeb-7325-446d-bde8-5c57cabb8b5a,"Las Vegas, NV",2025-04-29T07:11:27.705860,in transit
d2ebfbeb-7325-446d-bde8-5c57cabb8b5a,"Las Vegas, NV",2025-04-29T00:11:27.705860,delivered
d2ebfbeb-7325-446d-bde8-5c57cabb8b5a,"Oklahoma City, OK",2025-04-29T16:11:27.705860,delivered
c3995ddf-bf12-4f7c-be30-96034f654987,"Phoenix, AZ",2025-04-30T16:11:27.705927,delayed
c3995ddf-bf12-4f7c-be30-96034f654987,"El Paso, TX",2025-05-01T11:11:27.705927,delayed
c3995ddf-bf12-4f7c-be30-96034f654987,"Phoenix, AZ",2025-04-30T17:11:27.705927,delivered
a54f09f6-b50f-46a7-b5b8-28543fae26b6,"Oklahoma City, OK",2025-04-16T09:11:27.705995,delayed
a54f09f6-b50f-46a7-b5b8-28543fae26b6,"El Paso, TX",2025-04-16T20:11:27.705995,delivered
a54f09f6-b50f-46a7-b5b8-28543fae26b6,"Tucson, AZ",2025-04-15T03:11:27.705995,delivered
aa7bd1cd-b551-4777-86d5-818e6f82e148,"Phoenix, AZ",2025-04-08T21:11:27.706057,out for delivery
aa7bd1cd-b551-4777-86d5-818e6f82e148,"El Paso, TX",2025-04-07T13:11:27.706057,delivered
487762ed-06a7-4e66-aac6-82ef4762511b,"Tucson, AZ",2025-04-07T11:11:27.706118,in transit
487762ed-06a7-4e66-aac6-82ef4762511b,"El Paso, TX",2025-04-07T07:11:27.706118,delayed
9d50ecfc-15c8-4697-8580-47af8950e017,"El Paso, TX",2025-04-20T03:11:27.706176,delayed
9d50ecfc-15c8-4697-8580-47af8950e017,"Las Vegas, NV",2025-04-20T17:11:27.706176,out for delivery
6da56403-693e-4f85-8017-b36c2663c5d3,"Denver, CO",2025-05-01T05:11:27.706234,out for delivery
6da56403-693e-4f85-8017-b36c2663c5d3,"Oklahoma City, OK",2025-05-02T13:11:27.706234,arrived at hub
6da56403-693e-4f85-8017-b36c2663c5d3,"Tucson, AZ",2025-05-02T03:11:27.706234,delivered
c1e72e9e-582f-4e78-89f6-27e111fc9dd6,"Las Vegas, NV",2025-04-30T03:11:27.706300,arrived at hub
c1e72e9e-582f-4e78-89f6-27e111fc9dd6,"Salt Lake City, UT",2025-04-30T20:11:27.706300,delivered
e75ba900-3cba-4bbe-8a3d-0892a48f69ce,"Tucson, AZ",2025-05-04T00:11:27.706366,out for delivery
e75ba900-3cba-4bbe-8a3d-0892a48f69ce,"El Paso, TX",2025-05-02T16:11:27.706366,out for delivery
e75ba900-3cba-4bbe-8a3d-0892a48f69ce,"Oklahoma City, OK",2025-05-02T10:11:27.706366,in transit
7a89d59c-e1bf-4ab0-9ef7-467f3c028f7d,"Oklahoma City, OK",2025-05-05T06:11:27.706432,delivered
7a89d59c-e1bf-4ab0-9ef7-467f3c028f7d,"Phoenix, AZ",2025-05-04T07:11:27.706432,arrived at hub
7a89d59c-e1bf-4ab0-9ef7-467f3c028f7d,"Denver, CO",2025-05-04T04:11:27.706432,arrived at hub
64c641ee-01d5-49ed-9fd2-0990ce32cbc1,"Phoenix, AZ",2025-04-30T16:11:27.706500,arrived at hub
64c641ee-01d5-49ed-9fd2-0990ce32cbc1,"El Paso, TX",2025-05-03T01:11:27.706500,in transit
9c2c7702-1b64-43ef-806d-2fee254ca490,"Oklahoma City, OK",2025-05-06T18:11:27.706570,delivered
9c2c7702-1b64-43ef-806d-2fee254ca490,"Oklahoma City, OK",2025-05-05T13:11:27.706570,out for delivery
9c2c7702-1b64-43ef-806d-2fee254ca490,"Tucson, AZ",2025-05-07T04:11:27.706570,arrived at hub
62d85f6a-1e3c-4483-8822-88f02ec6d2d7,"Salt Lake City, UT",2025-05-04T13:11:27.706643,in transit
62d85f6a-1e3c-4483-8822-88f02ec6d2d7,"Denver, CO",2025-05-06T19:11:27.706643,arrived at hub
689865db-5fed-4765-bced-6a71cb132df4,"El Paso, TX",2025-04-16T19:11:27.706782,arrived at hub
689865db-5fed-4765-bced-6a71cb132df4,"Tucson, AZ",2025-04-17T04:11:27.706782,arrived at hub
689865db-5fed-4765-bced-6a71cb132df4,"Oklahoma City, OK",2025-04-19T00:11:27.706782,delivered
0a5a607e-7ae9-4adc-834f-e8887687b6c0,"El Paso, TX",2025-04-14T21:11:27.706863,delivered
0a5a607e-7ae9-4adc-834f-e8887687b6c0,"Salt Lake City, UT",2025-04-14T19:11:27.706863,delivered
0a5a607e-7ae9-4adc-834f-e8887687b6c0,"Denver, CO",2025-04-14T22:11:27.706863,out for delivery
abde16d6-e681-46c8-96bf-183044f25970,"Salt Lake City, UT",2025-04-08T22:11:27.706958,arrived at hub
abde16d6-e681-46c8-96bf-183044f25970,"Salt Lake City, UT",2025-04-09T00:11:27.706958,delivered
abde16d6-e681-46c8-96bf-183044f25970,"Oklahoma City, OK",2025-04-10T03:11:27.706958,arrived at hub
e4353c6b-e5d4-4ea4-be83-bff48fcefe57,"Phoenix, AZ",2025-04-08T21:11:27.707036,delayed
e4353c6b-e5d4-4ea4-be83-bff48fcefe57,"Las Vegas, NV",2025-04-07T19:11:27.707036,delayed
e4353c6b-e5d4-4ea4-be83-bff48fcefe57,"El Paso, TX",2025-04-08T05:11:27.707036,in transit
9a63a8e6-f318-450b-9093-248dfb8c3404,"Denver, CO",2025-04-11T08:11:27.707108,out for delivery
9a63a8e6-f318-450b-9093-248dfb8c3404,"Oklahoma City, OK",2025-04-11T08:11:27.707108,arrived at hub
1735319f-de65-41e8-8986-69e3732e634b,"Tucson, AZ",2025-04-26T18:11:27.707172,delayed
1735319f-de65-41e8-8986-69e3732e634b,"Tucson, AZ",2025-04-27T00:11:27.707172,in transit
f64dd416-7459-45aa-b659-836e1c07e2f7,"Tucson, AZ",2025-04-20T18:11:27.707232,delivered
f64dd416-7459-45aa-b659-836e1c07e2f7,"Salt Lake City, UT",2025-04-18T15:11:27.707232,delivered
f91d8242-42ab-43d0-b37b-22a1643215df,"Phoenix, AZ",2025-04-26T02:11:27.707292,delayed
f91d8242-42ab-43d0-b37b-22a1643215df,"Salt Lake City, UT",2025-04-25T03:11:27.707292,out for delivery
f91d8242-42ab-43d0-b37b-22a1643215df,"El Paso, TX",2025-04-25T18:11:27.707292,delivered
a8a630e2-9404-4189-b7d1-8ca1be5330b9,"Denver, CO",2025-05-07T03:11:27.707354,delayed
a8a630e2-9404-4189-b7d1-8ca1be5330b9,"Tucson, AZ",2025-05-06T20:11:27.707354,in transit
b6c42b54-4c52-406b-8ccb-16bf1d51d511,"Oklahoma City, OK",2025-05-04T08:11:27.707462,out for delivery
b6c42b54-4c52-406b-8ccb-16bf1d51d511,"Salt Lake City, UT",2025-05-03T10:11:27.707462,out for delivery
b6c42b54-4c52-406b-8ccb-16bf1d51d511,"El Paso, TX",2025-05-03T05:11:27.707462,delivered
96b3ad17-b3a4-4e4e-9f92-4d206204974a,"El Paso, TX",2025-04-09T15:11:27.707549,delivered
96b3ad17-b3a4-4e4e-9f92-4d206204974a,"Phoenix, AZ",2025-04-07T16:11:27.707549,out for delivery
a68afdf0-ed09-448e-8e70-5863c06b2321,"Denver, CO",2025-05-05T00:11:27.707632,in transit
a68afdf0-ed09-448e-8e70-5863c06b2321,"Tucson, AZ",2025-05-03T22:11:27.707632,delayed
57a38882-dafe-40d4-b389-99997431c7c8,"Las Vegas, NV",2025-04-12T23:11:27.707717,delayed
57a38882-dafe-40d4-b389-99997431c7c8,"Las Vegas, NV",2025-04-12T13:11:27.707717,out for delivery
069d5962-b7a1-4afa-8fe8-f50732a3a1a0,"Tucson, AZ",2025-04-06T23:11:27.707797,in transit
069d5962-b7a1-4afa-8fe8-f50732a3a1a0,"Las Vegas, NV",2025-04-06T19:11:27.707797,arrived at hub
069d5962-b7a1-4afa-8fe8-f50732a3a1a0,"Salt Lake City, UT",2025-04-06T21:11:27.707797,in transit
20bcc605-1f10-432b-b01c-7b7fa492ebc8,"Denver, CO",2025-04-21T20:11:27.707917,in transit
20bcc605-1f10-432b-b01c-7b7fa492ebc8,"Denver, CO",2025-04-21T08:11:27.707917,arrived at hub
ea084ab1-fcce-4f42-8436-b7f03a12e82b,"El Paso, TX",2025-04-20T03:11:27.708012,arrived at hub
ea084ab1-fcce-4f42-8436-b7f03a12e82b,"Oklahoma City, OK",2025-04-22T00:11:27.708012,delayed
ea084ab1-fcce-4f42-8436-b7f03a12e82b,"Denver, CO",2025-04-21T12:11:27.708012,delivered
6c5a469b-6d1f-4554-ad2e-dec9a8174914,"Las Vegas, NV",2025-04-23T09:11:27.708089,in transit
6c5a469b-6d1f-4554-ad2e-dec9a8174914,"Las Vegas, NV",2025-04-22T16:11:27.708089,delivered
f75b9889-1aef-4179-afd0-8837a006c877,"Oklahoma City, OK",2025-04-26T15:11:27.708191,arrived at hub
f75b9889-1aef-4179-afd0-8837a006c877,"El Paso, TX",2025-04-24T22:11:27.708191,arrived at hub
f75b9889-1aef-4179-afd0-8837a006c877,"Oklahoma City, OK",2025-04-25T02:11:27.708191,delayed
d7bb9bfb-1932-4b87-856b-81f51f412cb8,"Las Vegas, NV",2025-04-15T18:11:27.708281,delivered
d7bb9bfb-1932-4b87-856b-81f51f412cb8,"Oklahoma City, OK",2025-04-17T19:11:27.708281,delayed
fba40d17-9148-4c6b-b64f-6325cf129277,"Oklahoma City, OK",2025-04-26T05:11:27.708380,delayed
fba40d17-9148-4c6b-b64f-6325cf129277,"Salt Lake City, UT",2025-04-23T14:11:27.708380,out for delivery
2dee9bfd-5a2a-4aa2-8a81-ed7354bb771e,"Tucson, AZ",2025-04-07T02:11:27.708474,delayed
2dee9bfd-5a2a-4aa2-8a81-ed7354bb771e,"Oklahoma City, OK",2025-04-08T23:11:27.708474,arrived at hub
2dee9bfd-5a2a-4aa2-8a81-ed7354bb771e,"Denver, CO",2025-04-08T20:11:27.708474,delivered
4f180df3-8291-4cba-b942-8ca2cc0d26f8,"Salt Lake City, UT",2025-04-13T09:11:27.708557,out for delivery
4f180df3-8291-4cba-b942-8ca2cc0d26f8,"Tucson, AZ",2025-04-13T00:11:27.708557,delivered
4f180df3-8291-4cba-b942-8ca2cc0d26f8,"Las Vegas, NV",2025-04-11T23:11:27.708557,arrived at hub
043014ba-2c53-4b5d-ad00-d5eb66bf527f,"Tucson, AZ",2025-04-15T00:11:27.708653,arrived at hub
043014ba-2c53-4b5d-ad00-d5eb66bf527f,"El Paso, TX",2025-04-16T00:11:27.708653,delivered
53bcafc6-0fe4-4c57-afd0-d646754616db,"Phoenix, AZ",2025-04-29T08:11:27.708763,out for delivery
53bcafc6-0fe4-4c57-afd0-d646754616db,"Denver, CO",2025-04-29T06:11:27.708763,out for delivery
53bcafc6-0fe4-4c57-afd0-d646754616db,"Las Vegas, NV",2025-04-28T16:11:27.708763,delayed
ce5bbd42-3b8d-4f4f-a378-3a3b88406e5a,"El Paso, TX",2025-04-09T00:11:27.708862,delayed
ce5bbd42-3b8d-4f4f-a378-3a3b88406e5a,"El Paso, TX",2025-04-07T14:11:27.708862,arrived at hub
ce5bbd42-3b8d-4f4f-a378-3a3b88406e5a,"Denver, CO",2025-04-07T23:11:27.708862,out for delivery
a434301f-1ad1-43b1-930d-f817b1e71355,"Oklahoma City, OK",2025-04-05T19:11:27.708953,out for delivery
a434301f-1ad1-43b1-930d-f817b1e71355,"Tucson, AZ",2025-04-07T03:11:27.708953,in transit
a434301f-1ad1-43b1-930d-f817b1e71355,"Las Vegas, NV",2025-04-05T00:11:27.708953,arrived at hub
adbeb6cd-0e5d-4ab3-bf0d-a69358de9ea7,"Las Vegas, NV",2025-04-11T20:11:27.709042,delivered
adbeb6cd-0e5d-4ab3-bf0d-a69358de9ea7,"Tucson, AZ",2025-04-12T12:11:27.709042,delivered
adbeb6cd-0e5d-4ab3-bf0d-a69358de9ea7,"Las Vegas, NV",2025-04-13T08:11:27.709042,out for delivery
7aef7e43-ffdb-404b-83e6-283d8764b6f4,"Oklahoma City, OK",2025-04-30T10:11:27.709118,out for delivery
7aef7e43-ffdb-404b-83e6-283d8764b6f4,"Las Vegas, NV",2025-04-29T23:11:27.709118,delayed
7aef7e43-ffdb-404b-83e6-283d8764b6f4,"Phoenix, AZ",2025-04-29T18:11:27.709118,arrived at hub
3e547cb2-8f37-4bed-858c-35c6a3c2bf6f,"Oklahoma City, OK",2025-04-28T04:11:27.709188,delivered
3e547cb2-8f37-4bed-858c-35c6a3c2bf6f,"Denver, CO",2025-04-28T12:11:27.709188,arrived at hub
3e547cb2-8f37-4bed-858c-35c6a3c2bf6f,"Las Vegas, NV",2025-04-30T02:11:27.709188,delivered
19d50990-f3af-4308-931c-633967865541,"Salt Lake City, UT",2025-04-13T01:11:27.709269,arrived at hub
19d50990-f3af-4308-931c-633967865541,"Denver, CO",2025-04-14T02:11:27.709269,delayed
19d50990-f3af-4308-931c-633967865541,"Las Vegas, NV",2025-04-13T11:11:27.709269,in transit
296577bd-f671-463a-80b0-cd1332e523af,"Phoenix, AZ",2025-04-12T00:11:27.709342,in transit
